f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,answer
1.107849,0.297047,0.669745,1.384750,0.414078,0.020145,3.117083,0.927429,1.146789,3.459391,3.014120
0.235202,1.520593,1.070670,-0.575421,0.193003,2.331216,3.447211,-0.616085,-0.222116,2.251044,3.128683
2.019224,0.756142,0.065671,2.045672,0.257269,0.729694,2.216236,0.134341,1.052574,4.886709,5.321765
0.715307,-0.560900,-0.045856,2.008852,-0.022250,-1.854446,0.577739,-0.092118,-0.089395,2.117402,0.017633
0.198616,0.235554,0.813773,1.985646,1.030681,-1.551476,2.639935,1.615865,4.093136,3.233589,5.366488
1.428010,2.025947,0.456367,1.273275,2.415881,2.180681,2.797110,0.581081,6.152162,5.183599,11.687533
1.681753,1.561240,1.766929,0.578909,1.324989,2.664084,6.982539,1.022890,1.534095,5.588830,8.347475
0.332063,2.357450,1.097573,0.538462,1.139189,2.151051,3.624782,0.591002,1.226821,4.325549,6.655608
0.610157,1.706359,1.633895,0.972349,0.637484,1.344167,5.511841,1.588716,1.239714,4.922761,5.916134
1.061522,0.330912,0.084125,0.415804,0.696352,0.976630,1.313898,0.034980,0.579093,1.892364,4.102264
1.698500,0.646031,1.289637,1.109779,1.832720,1.234752,5.567410,1.431212,4.067827,4.743946,9.659080
0.910936,0.790576,0.657719,1.389811,0.440176,0.311702,2.884092,0.914105,1.223524,3.749042,5.527831
-0.249248,1.130733,1.139888,0.402784,0.843568,0.478702,3.170415,0.459129,0.679552,2.424157,5.482026
0.560376,0.691917,0.801032,0.759050,-0.094762,0.493243,2.963471,0.608023,-0.143858,2.812374,3.347389
1.108029,0.924088,0.559313,1.889856,1.794903,0.142261,2.785968,1.057021,6.784215,4.481285,7.762699
1.433400,1.959370,0.213988,2.301117,0.776388,1.091654,2.075365,0.492412,3.573117,5.907876,6.952799
1.428760,1.301693,0.487404,0.822069,0.567699,1.908385,2.890972,0.400680,0.933375,4.039926,5.282957
0.495987,0.922139,0.888578,1.912397,0.101611,-0.494270,3.161721,1.699314,0.388642,4.219101,4.174766
0.400028,2.507767,2.503936,2.544251,0.082708,0.363544,7.911836,6.370642,0.420859,7.955982,10.014489
-0.497016,0.530124,1.439619,0.588256,1.591107,-0.555148,3.821842,0.846865,1.871957,2.060984,4.562344
1.446140,-0.507432,0.433298,1.052018,0.837096,-0.113310,2.746035,0.455838,1.761281,2.424025,3.719935
-0.105563,0.899485,1.153590,0.965768,-0.128157,-0.171846,3.355207,1.114100,-0.247541,2.913280,3.083051
0.459283,0.146803,1.027413,0.678579,2.428248,-0.072493,3.541523,0.697181,3.295515,2.312078,7.459362
1.826362,1.162475,1.220333,1.348441,1.888978,1.640396,5.487362,1.645548,5.094352,5.557612,9.633792
1.672543,1.136477,0.719481,0.868113,0.120183,1.940906,3.830985,0.624591,0.208665,4.396613,5.035128
1.022599,0.544280,1.085306,0.735783,0.103663,0.831097,4.278516,0.798550,0.152547,3.387969,2.738081
-0.015975,-0.148821,1.210068,1.256345,0.893340,-1.421141,3.614230,1.520263,2.244686,2.301617,3.024899
1.343231,2.170681,1.235193,0.254022,2.056872,3.259891,5.048811,0.313766,1.044980,5.003127,10.144005
-0.306206,1.162422,1.487810,0.127525,0.635557,0.728691,4.157223,0.189733,0.162099,2.471551,2.753128
1.546291,1.176014,0.324772,-0.365084,0.842152,3.087389,2.520606,-0.118569,-0.614912,2.681993,6.054115
0.003081,0.828266,1.565737,0.375874,1.985336,0.455473,4.700291,0.588520,1.492473,2.772958,6.745289
1.016092,1.013659,2.690006,0.015470,0.491482,2.014281,9.086110,0.041614,0.015206,4.735227,5.200277
0.805456,1.317892,0.218616,1.964997,0.944606,0.158351,1.461303,0.429579,3.712297,4.306961,5.162555
-0.173231,-0.128830,1.167056,0.640106,1.726945,-0.942166,3.327938,0.747040,2.210856,1.505102,5.001623
0.557090,1.467300,0.802082,1.194717,0.315768,0.829674,2.963336,0.958261,0.754505,4.021189,4.887045
0.730669,0.757021,0.481468,0.278104,1.073800,1.209586,2.175074,0.133898,0.597257,2.247263,5.097806
0.276045,0.066318,1.108682,1.810415,0.549128,-1.468052,3.602091,2.007175,1.988298,3.261460,3.955912
0.048472,1.505231,0.749493,-0.690029,0.852978,2.243732,2.296950,-0.517172,-1.177160,1.613167,3.485310
0.251310,1.670445,2.524596,0.651973,0.401615,1.269781,7.825096,1.645968,0.523684,5.098323,6.961130
1.628697,0.809575,0.673456,0.865944,0.096538,1.572328,3.649064,0.583175,0.167193,3.977673,4.130292
1.193493,0.496578,1.422924,0.815323,0.612764,0.874749,5.462266,1.160142,0.999201,3.928319,4.644619
-0.781837,2.326212,1.194439,1.197320,2.566012,0.347054,2.801479,1.430125,6.144674,3.936133,9.698922
-0.350467,0.452107,2.356612,2.065779,0.319219,-1.964139,6.719371,4.868241,1.318873,4.524032,6.405329
2.062400,0.624646,1.062907,1.231529,0.592794,1.455517,5.251121,1.309001,1.460086,4.981482,5.979196
0.156181,0.752492,0.686164,1.667564,0.787492,-0.758892,2.214673,1.144222,2.626387,3.262400,4.108732
-0.296557,0.252868,0.826710,1.011375,1.313631,-1.055064,2.183573,0.836114,2.657146,1.794396,4.137335
0.969255,0.524917,0.462435,0.168375,1.010208,1.325797,2.356560,0.077863,0.340188,2.124982,4.938550
1.298065,1.278779,0.686692,0.941809,1.647596,1.635035,3.358141,0.646733,3.103441,4.205345,7.556316
2.204758,1.546802,0.797347,1.381575,1.062349,2.369984,4.596799,1.101595,2.935429,5.930481,10.112222
1.054621,-1.758838,0.396311,0.461227,0.901471,-1.165444,2.243554,0.182789,0.831565,0.153321,4.185421
0.948084,1.174869,0.998376,1.480411,2.180969,0.642542,3.943213,1.478007,6.457463,4.601741,8.585479
-0.078284,0.134524,1.036909,1.878262,0.807871,-1.822023,3.032443,1.947587,3.034788,2.971411,4.518565
0.465426,2.935254,1.258366,2.360886,0.606772,1.039794,4.240525,2.970859,2.865041,7.019932,8.840982
1.428885,2.687651,1.255204,0.809895,2.335881,3.306642,5.194498,1.016584,3.783636,6.181636,11.560373
1.632340,0.048648,0.170168,1.846421,1.782220,-0.165434,2.142843,0.314201,6.581457,3.697577,7.251998
1.621818,0.944960,-0.204842,1.098311,0.299008,1.468467,1.007292,-0.224980,0.656808,3.460246,2.125851
-0.208598,-0.057840,0.277893,1.368373,1.200844,-1.634811,0.625081,0.380261,3.286404,1.379828,3.552700
1.284212,0.465913,-0.727031,1.468596,1.740888,0.281529,-0.896880,-1.067715,5.113322,2.491690,5.132948
2.087990,1.390989,0.692270,1.576879,1.211425,1.902100,4.164800,1.091626,3.820540,5.748128,7.525570
1.245535,1.321983,0.856787,1.743330,-0.052879,0.824188,3.815896,1.493662,-0.184371,5.167635,4.554271
2.008917,1.265578,0.716837,1.954536,1.483285,1.319960,4.159428,1.401083,5.798266,5.945868,9.046203
0.872902,0.536107,1.858464,0.965596,0.653840,0.443413,6.448294,1.794526,1.262691,4.233069,6.443294
1.612927,0.870749,1.591177,1.344440,1.808255,1.139236,6.386458,2.139242,4.862180,5.419293,9.076812
0.317896,1.946353,-0.283811,1.465832,-0.120318,0.798417,-0.533538,-0.416020,-0.352733,3.446269,1.542976
1.290061,1.577391,-0.735336,0.541725,0.399657,2.325727,-0.915949,-0.398350,0.433009,2.673840,4.271622
1.113448,0.552297,0.041823,1.348222,1.982344,0.317524,1.238917,0.056386,5.345278,3.055790,6.700208
0.096632,0.018054,1.149450,-0.297615,0.576212,0.412301,3.544981,-0.342094,-0.342979,0.966521,0.607620
1.065540,0.862975,0.801081,2.521833,1.006421,-0.593318,3.468783,2.020192,5.076049,5.251428,5.390540
0.379027,-0.264683,1.499558,0.607476,2.063860,-0.493132,4.877702,0.910946,2.507492,2.221379,6.281828
0.828092,1.102882,0.444160,1.856766,0.832591,0.074209,2.160572,0.824701,3.091854,4.231900,4.617570
0.811712,1.254253,1.754731,2.156084,1.633542,-0.090120,6.075904,3.783347,7.044107,5.976780,10.108604
0.951198,1.202024,1.183728,-0.463246,1.956474,2.616468,4.502382,-0.548357,-1.812657,2.873704,5.423241
0.454167,0.719363,1.651201,0.231254,0.268024,0.942275,5.407769,0.381847,0.123963,3.055984,2.744422
1.515602,1.453833,0.485847,0.523678,0.653307,2.445757,2.973144,0.254428,0.684245,3.978960,5.084482
0.388540,-1.428071,0.818480,1.085846,1.316175,-2.125376,2.843982,0.888744,2.858327,0.864796,4.169703
1.602497,0.590776,0.590668,-0.314417,2.029062,2.507690,3.374500,-0.185716,-1.275944,2.469523,7.582557
0.787505,0.300602,0.699621,2.232364,1.290772,-1.144257,2.886368,1.561809,5.762947,4.020093,5.418098
0.016740,0.862758,0.726961,1.711101,0.605488,-0.831603,2.197623,1.243904,2.072102,3.317560,4.703031
1.594179,1.562047,-0.375872,1.339996,2.487884,1.816230,0.466563,-0.503667,6.667510,4.120350,9.504851
1.162385,1.082996,1.425155,0.772498,0.537637,1.472883,5.437849,1.100929,0.830647,4.443034,4.983082
0.652476,1.663077,0.518181,0.895006,1.486757,1.420547,2.207020,0.463776,2.661313,3.728741,6.865289
1.974555,0.639183,0.402674,1.570700,0.211655,1.043037,3.182577,0.632480,0.664893,4.587112,4.250469
-0.613679,-0.568767,1.715375,1.076908,1.551470,-2.259355,4.532444,1.847301,3.341582,1.609836,5.577608
0.527456,1.245005,0.491451,-0.141378,1.235389,1.913838,2.001809,-0.069480,-0.349313,2.122534,4.996088
-0.308522,-0.922306,1.330130,1.620483,-0.366795,-2.851311,3.681870,2.155454,-1.188772,1.719786,0.392936
0.073752,3.376698,1.259250,0.064103,1.550326,3.386348,3.851503,0.080721,0.198760,4.773803,8.663597
-0.114421,1.165466,3.087422,1.595035,1.054306,-0.543990,9.147845,4.924546,3.363308,5.733502,9.565980
2.829538,0.537677,1.454761,0.532819,1.669482,2.834396,7.193822,0.775125,1.779064,5.354795,8.471222
0.372669,0.704835,0.744236,0.238526,0.911682,0.838978,2.605376,0.177519,0.434919,2.060265,4.195183
0.939488,1.793143,1.640899,0.413895,0.242946,2.318737,5.862183,0.679159,0.201108,4.787424,5.435532
1.549129,-0.410089,1.171137,2.085247,0.307640,-0.946206,5.062541,2.442110,1.283010,4.395424,5.121203
0.437412,0.753822,2.240673,1.668476,1.275576,-0.477242,7.159430,3.738509,4.256534,5.100383,8.776052
1.097698,0.097762,1.875971,1.770889,1.493802,-0.575428,6.725612,3.322137,5.290714,4.842321,9.221853
1.368269,-0.097677,0.864219,0.795485,1.677377,0.475108,3.960927,0.687473,2.668654,2.930296,5.576817
2.339039,1.385331,0.434523,0.144276,-0.193122,3.580094,3.642607,0.062691,-0.055726,4.303168,4.176521
2.083764,0.642399,1.335264,0.962724,1.155141,1.763438,6.089555,1.285491,2.224164,5.024150,6.847373
0.740166,0.257621,-0.061991,0.827118,1.657284,0.170670,0.554194,-0.051274,2.741540,1.762915,5.104884
1.597423,1.405007,0.238563,0.576021,1.058139,2.426409,2.313113,0.137417,1.219019,3.817014,5.973219
1.901952,1.353824,0.963352,1.484493,0.147964,1.771284,4.792009,1.430089,0.439303,5.703621,7.307491
0.567797,1.752539,2.683113,-0.160107,0.918066,2.480443,8.617135,-0.429586,-0.293978,4.843341,4.664207
2.249884,1.387421,0.560757,0.460484,-0.110019,3.176822,3.932156,0.258220,-0.101324,4.658547,4.759323
2.072761,0.852581,0.807522,0.350924,1.636647,2.574418,4.495328,0.283379,1.148677,4.083788,8.848577
0.550516,1.756399,0.407328,1.898142,1.378436,0.408773,1.772499,0.773166,5.232932,4.612384,7.458892
0.423430,-0.324192,1.880987,0.131405,0.965578,-0.032167,6.066390,0.247171,0.253763,2.111630,3.671670
-0.058077,0.403896,1.796929,-0.402247,0.887179,0.748066,5.332710,-0.722809,-0.713730,1.740501,1.748217
0.817834,-0.399485,0.492825,1.047556,2.089234,-0.629207,2.296310,0.516262,4.377180,1.958731,5.874877
0.745767,0.735177,0.497555,0.731401,0.606735,0.749543,2.238431,0.363912,0.887533,2.709899,3.505364
2.786177,2.303145,0.034385,0.637314,-0.256647,4.452008,2.889332,0.021914,-0.327129,5.761021,6.401889
1.604190,-0.038908,-0.814910,1.537628,-0.126028,0.027654,-0.840540,-1.253028,-0.387567,2.288000,0.949673
2.128496,1.877223,2.787820,0.157264,-1.097660,3.848455,10.491955,0.438424,-0.345245,6.950802,3.368499
0.988795,2.680451,0.052208,1.784456,0.157401,1.884791,1.145420,0.093163,0.561752,5.505910,5.911874
0.994387,2.156993,-0.384115,0.912074,1.379098,2.239306,-0.157957,-0.350341,2.515681,3.679340,4.802084
2.570193,1.044148,0.852828,-0.603511,0.472291,4.217852,5.128677,-0.514691,-0.570065,3.863659,5.589390
1.031133,1.830657,-0.105452,1.678440,1.725735,1.183350,0.714777,-0.176995,5.793086,4.434778,7.693871
1.925460,0.292770,1.367348,0.753267,2.267823,1.464963,6.027503,1.029978,3.416553,4.338845,8.341627
1.053637,1.482494,0.037969,1.100913,1.148241,1.435218,1.167543,0.041800,2.528228,3.675013,6.186451
0.877058,1.221950,2.009601,1.332545,1.401299,0.766463,6.905861,2.677884,3.734589,5.441154,7.121993
1.897259,0.705104,0.075143,0.821482,1.844791,1.780881,2.122687,0.061728,3.030926,3.498988,7.685427
0.919793,0.939412,0.738197,0.649095,1.249851,1.210110,3.134384,0.479160,1.622544,3.246497,5.436340
0.902141,1.177917,1.150835,2.228365,1.131410,-0.148306,4.354647,2.564480,5.042389,5.459258,9.027671
0.075116,0.941867,0.907645,0.826024,1.636389,0.190959,2.798052,0.749737,2.703394,2.750652,5.546498
0.886749,1.883448,0.763450,0.275305,0.785415,2.494892,3.177099,0.210182,0.432458,3.808952,7.072841
1.250718,0.713875,0.607051,1.423295,1.198631,0.541299,3.071872,0.864013,3.412011,3.994940,7.539242
1.154257,1.329610,-0.005449,0.142004,0.350576,2.341863,1.137909,-0.000774,0.099566,2.620422,4.458176
1.627779,0.004523,1.516898,2.852970,1.487282,-1.220668,6.178472,4.327664,8.486342,6.002170,9.014977
-0.228660,1.741392,0.082898,-0.446914,3.540429,1.959646,0.020033,-0.037048,-3.164531,1.148716,10.067489
1.336912,1.977187,0.979179,0.035903,1.720683,3.278196,4.274449,0.035156,0.123556,4.329182,7.757728
0.885672,-0.591469,1.082766,1.484990,2.861829,-1.190786,4.133971,1.607897,8.499575,2.861960,8.298401
0.459175,1.403932,-0.516168,1.122705,0.774409,0.740403,-1.089329,-0.579504,1.738865,2.469644,2.669190
1.979688,1.479374,0.546487,0.226045,0.541857,3.233017,3.619150,0.123531,0.244968,4.231594,5.809099
1.531877,0.952459,2.278379,0.319787,-0.010151,2.164549,8.367013,0.728596,-0.006492,5.082502,3.623068
0.758184,-0.743906,2.141559,1.847782,-0.010000,-1.833505,7.182860,3.957134,-0.036955,4.003618,3.744766
1.287726,0.004912,0.813786,-0.045121,0.620035,1.337759,3.729084,-0.036719,-0.055953,2.061303,4.269686
0.576979,1.144193,1.316006,0.884906,0.578230,0.836266,4.524998,1.164542,1.023358,3.922085,4.657855
0.793181,0.890372,0.876344,1.366591,1.342037,0.316963,3.422212,1.197603,3.668030,3.926488,6.784267
1.306569,0.693918,-0.192538,0.673025,0.459560,1.327463,0.728955,-0.129583,0.618590,2.480974,5.468175
0.527167,0.598734,1.813222,0.458956,2.512155,0.666945,5.966832,0.832189,2.305936,3.398078,8.376964
1.179053,1.090369,2.496676,0.885692,0.512370,1.383731,8.669082,2.211285,0.907604,5.651791,5.534329
0.868944,0.666922,1.447479,1.609704,-0.151003,-0.073838,5.211380,2.330012,-0.486139,4.593049,5.624841
0.934834,1.210215,0.685622,-0.014194,0.983798,2.159243,2.991700,-0.009732,-0.027929,2.816476,5.739707
0.159525,0.151652,1.047452,1.143201,1.950684,-0.832024,3.301882,1.197448,4.460045,2.501829,6.230072
-0.074316,0.098849,1.960784,-0.353374,1.762520,0.377907,5.808037,-0.692890,-1.245658,1.631944,3.938022
-0.047847,1.012543,0.069964,-0.364159,0.091249,1.328855,0.162043,-0.025478,-0.066458,0.670500,1.377369
1.286188,1.938638,0.598525,1.656949,1.283669,1.567877,3.081764,0.991726,4.253946,5.480300,8.043814
3.236278,1.813421,0.172676,-0.613827,1.049423,5.663526,3.754305,-0.105993,-1.288327,4.608548,7.440009
1.878585,1.336660,0.166229,1.236736,0.554439,1.978510,2.377271,0.205581,1.371391,4.618211,5.505264
0.371187,0.885023,1.114611,0.020655,0.895843,1.235555,3.715019,0.023022,0.037007,2.391475,3.872360
0.822918,1.163486,1.668188,2.620169,0.673568,-0.633765,5.827484,4.370936,3.529726,6.274762,10.353809
0.879973,-0.096892,0.227052,1.111544,1.500889,-0.328463,1.561130,0.252379,3.336610,2.121677,5.593519
1.717433,1.341938,1.040686,0.814592,1.083064,2.244780,4.839491,0.847734,1.764510,4.914649,7.439683
